Date, Open, High, Low, Close
02/27/15,1.1198,1.1246,1.1176,1.1197
03/02/15,1.1197,1.1245,1.1163,1.1184
03/03/15,1.1183,1.1219,1.1156,1.1176
03/04/15,1.1177,1.1187,1.1062,1.108
03/05/15,1.1079,1.1116,1.099,1.103
03/06/15,1.1031,1.1035,1.084,1.0842
03/09/15,1.0842,1.0908,1.0837,1.0853
03/10/15,1.0854,1.0857,1.0694,1.0699
03/11/15,1.0698,1.0716,1.0512,1.0548
03/12/15,1.0549,1.0683,1.0497,1.0636
03/13/15,1.0635,1.0636,1.0462,1.0496
03/16/15,1.0496,1.062,1.0493,1.057
03/17/15,1.0568,1.0651,1.0552,1.0597
03/18/15,1.0598,1.1024,1.058,1.0863
03/19/15,1.0864,1.0902,1.0614,1.066
03/20/15,1.0659,1.0881,1.065,1.082
03/23/15,1.082,1.0973,1.0769,1.0946
03/24/15,1.0945,1.103,1.0892,1.0925
03/25/15,1.0924,1.1016,1.09,1.0971
03/26/15,1.0972,1.1056,1.0857,1.0885
03/27/15,1.0884,1.0945,1.0802,1.089
03/30/15,1.089,1.089,1.0811,1.0834
03/31/15,1.0835,1.0846,1.0715,1.0735
04/01/15,1.0733,1.08,1.0719,1.0763
04/02/15,1.0764,1.0902,1.0752,1.088
04/03/15,1.0881,1.1025,1.0863,1.0973
04/06/15,1.0973,1.1037,1.0912,1.0922
04/07/15,1.0923,1.0957,1.0803,1.0816
04/08/15,1.0815,1.0888,1.0767,1.0781
04/09/15,1.0782,1.079,1.0637,1.0659
04/10/15,1.066,1.0686,1.0569,1.0602
04/13/15,1.0602,1.062,1.0521,1.0569
04/14/15,1.0568,1.0709,1.0533,1.0655
04/15/15,1.0655,1.0702,1.0572,1.0684
04/16/15,1.0683,1.0818,1.0626,1.0761
04/17/15,1.0762,1.0848,1.0733,1.0807
04/20/15,1.0807,1.082,1.0715,1.0738
04/21/15,1.0737,1.078,1.0661,1.0736
04/22/15,1.0737,1.0801,1.071,1.0725
04/23/15,1.0727,1.0845,1.0668,1.0825
04/24/15,1.0824,1.09,1.0784,1.0874
04/27/15,1.0874,1.0926,1.082,1.0891
04/28/15,1.0892,1.0992,1.0862,1.0982
04/29/15,1.0981,1.1188,1.096,1.113
04/30/15,1.1128,1.1263,1.1073,1.1222
05/01/15,1.1224,1.1292,1.1177,1.1199
05/04/15,1.1199,1.1224,1.1122,1.1148
05/05/15,1.1147,1.1223,1.1066,1.1185
05/06/15,1.1186,1.1372,1.1176,1.1347
05/07/15,1.1346,1.1393,1.124,1.1267
05/08/15,1.1266,1.1289,1.1181,1.1201
05/11/15,1.1204,1.1204,1.1132,1.1156
05/12/15,1.1157,1.1279,1.1135,1.1215
05/13/15,1.1214,1.1383,1.1204,1.1354
05/14/15,1.1356,1.1445,1.1341,1.1409
05/15/15,1.141,1.1468,1.1324,1.1448
05/18/15,1.1448,1.1448,1.1299,1.1317
05/19/15,1.1316,1.1326,1.1119,1.115
05/20/15,1.1152,1.1154,1.1064,1.1096
05/21/15,1.1095,1.1185,1.108,1.1113
05/22/15,1.1114,1.1206,1.1002,1.1015
05/25/15,1.1015,1.1015,1.0959,1.0978
05/26/15,1.0978,1.0982,1.0863,1.0874
05/27/15,1.0875,1.093,1.0819,1.0904
05/28/15,1.0903,1.0959,1.087,1.0949
05/29/15,1.0947,1.1005,1.0926,1.0993
06/01/15,1.0993,1.0993,1.0888,1.0929
06/02/15,1.0928,1.1195,1.0917,1.1151
06/03/15,1.1152,1.1285,1.108,1.1276
06/04/15,1.1275,1.1381,1.1226,1.1238
